sort_id,common_name,formal_name,iso3,visits
124,Netherlands,Kingdom of the Netherlands,NLD,4624
105,Malaysia,,MYS,5422
141,Romania,,ROU,5963
138,Poland,Republic of Poland,POL,6177
9,Australia,Commonwealth of Australia,AUS,7246
60,France,French Republic,FRA,7353
84,Japan,,JPN,9195
137,Philippines,Republic of the Philippines,PHL,9235
31,Canada,,CAN,11608
76,India,Republic of India,IND,18938
183,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GBR,18979
64,Germany,Federal Republic of Germany,DEU,34629
184,United States,United States of America,USA,251987
4,Andorra,Principality of Andorra,AND,
5,Angola,Republic of Angola,AGO,
12,"Bahamas, The",Commonwealth of The Bahamas,BHS,
27,Burkina Faso,,BFA,
28,Burundi,Republic of Burundi,BDI,
32,Cape Verde,Republic of Cape Verde,CPV,
33,Central African Republic,,CAF,
34,Chad,Republic of Chad,TCD,
36,"China, People's Republic of",People's Republic of China,CHN,
38,Comoros,Union of Comoros,COM,
39,"Congo, (Congo ?? Kinshasa)",Democratic Republic of the Congo,COD,
40,"Congo, (Congo ?? Brazzaville)",Republic of the Congo,COG,
42,Cote d'Ivoire (Ivory Coast),Republic of Cote d'Ivoire,CIV,
48,Djibouti,Republic of Djibouti,DJI,
49,Dominica,Commonwealth of Dominica,DMA,
54,Equatorial Guinea,Republic of Equatorial Guinea,GNQ,
55,Eritrea,State of Eritrea,ERI,
61,Gabon,Gabonese Republic,GAB,
62,"Gambia, The",Republic of The Gambia,GMB,
70,Guinea-Bissau,Republic of Guinea-Bissau,GNB,
72,Haiti,Republic of Haiti,HTI,
88,Kiribati,Republic of Kiribati,KIR,
89,"Korea, North",Democratic People's Republic of Korea,PRK,
90,"Korea, South",Republic of Korea,KOR,
97,Liberia,Republic of Liberia,LBR,
99,Liechtenstein,Principality of Liechtenstein,LIE,
103,Madagascar,Republic of Madagascar,MDG,
107,Mali,Republic of Mali,MLI,
109,Marshall Islands,Republic of the Marshall Islands,MHL,
110,Mauritania,Islamic Republic of Mauritania,MRT,
113,Micronesia,Federated States of Micronesia,FSM,
115,Monaco,Principality of Monaco,MCO,
117,Montenegro,Republic of Montenegro,MNE,
119,Mozambique,Republic of Mozambique,MOZ,
120,Myanmar (Burma),Union of Myanmar,MMR,
122,Nauru,Republic of Nauru,NRU,
127,Niger,Republic of Niger,NER,
132,Palau,Republic of Palau,PLW,
145,Saint Lucia,,LCA,
147,Samoa,Independent State of Samoa,WSM,
148,San Marino,Republic of San Marino,SMR,
149,Sao Tome and Principe,Democratic Republic of Sao Tome and Principe,STP,
153,Seychelles,Republic of Seychelles,SYC,
158,Solomon Islands,,SLB,
169,Tajikistan,Republic of Tajikistan,TJK,
172,Timor-Leste (East Timor),Democratic Republic of Timor-Leste,TLS,
174,Tonga,Kingdom of Tonga,TON,
178,Turkmenistan,,TKM,
179,Tuvalu,,TUV,
187,Vanuatu,Republic of Vanuatu,VUT,
188,Vatican City,State of the Vatican City,VAT,
194,Abkhazia,Republic of Abkhazia,GEO,
195,"China, Republic of (Taiwan)",Republic of China,TWN,
196,Nagorno-Karabakh,Nagorno-Karabakh Republic,AZE,
197,Northern Cyprus,Turkish Republic of Northern Cyprus,CYP,
198,Pridnestrovie (Transnistria),Pridnestrovian Moldavian Republic,MDA,
